date,provider,account,service,cost,currency,tag_env,tag_team
2026-01-01,aws,prod-001,EC2,128.10,USD,prod,platform
2026-01-01,aws,prod-001,S3,34.55,USD,prod,platform
2026-01-01,aws,dev-001,EC2,21.90,USD,dev,engineering
2026-01-02,aws,prod-001,EC2,140.20,USD,prod,platform
2026-01-02,aws,prod-001,DataTransfer,62.45,USD,prod,platform
2026-01-02,aws,dev-001,S3,18.10,USD,dev,engineering
2026-01-03,aws,prod-001,EC2,155.70,USD,prod,platform
2026-01-03,aws,prod-001,S3,41.22,USD,prod,platform
2026-01-03,aws,dev-001,EC2,24.50,USD,dev,engineering
2026-01-04,aws,prod-001,EC2,310.40,USD,prod,platform
2026-01-04,aws,prod-001,DataTransfer,190.10,USD,prod,platform
2026-01-04,aws,dev-001,EC2,26.20,USD,dev,engineering
2026-01-05,aws,prod-001,EC2,160.30,USD,prod,platform
2026-01-05,aws,prod-001,S3,39.10,USD,prod,platform
2026-01-05,aws,dev-001,S3,17.40,USD,dev,engineering
2026-01-06,aws,prod-001,EC2,150.90,USD,prod,platform
2026-01-06,aws,prod-001,S3,36.80,USD,prod,platform
2026-01-06,aws,dev-001,EC2,23.70,USD,dev,engineering
2026-01-07,aws,prod-001,EC2,148.30,USD,prod,platform
2026-01-07,aws,prod-001,S3,35.20,USD,prod,platform
2026-01-07,aws,dev-001,EC2,22.60,USD,dev,engineering
